iter	Logloss
0	0.6830693712
1	0.6760588754
2	0.6658660498
3	0.6599858406
4	0.6541181265
5	0.6462134842
6	0.6379051471
7	0.6312404016
8	0.6268612311
9	0.622778255
10	0.6152204669
11	0.6076743321
12	0.6043698558
13	0.5992502253
14	0.5963558004
15	0.5909387041
16	0.5830305574
17	0.5791320943
18	0.5743610781
19	0.5674730209
20	0.5647766339
21	0.5625674708
22	0.5609563273
23	0.5590923411
24	0.557771618
25	0.5550206644
26	0.553864414
27	0.5508187229
28	0.5496889178
29	0.5485883604
30	0.5459000918
31	0.5449372196
32	0.5397933927
33	0.5343038767
34	0.5315780709
35	0.5270019804
36	0.523170381
37	0.5212949474
38	0.5208902015
39	0.5173425791
40	0.515106993
41	0.5131204552
42	0.5119719196
43	0.5113028564
44	0.5095054148
45	0.5079103731
46	0.5071743069
47	0.5066591453
48	0.5061411166
49	0.5052897806
50	0.5039702005
51	0.5035445981
52	0.5012585823
53	0.4992357514
54	0.4989980134
55	0.4989920689
56	0.4982379284
57	0.4973885678
58	0.4961312637
59	0.4953967627
60	0.4953924701
61	0.4949819262
62	0.4927534491
63	0.4921503913
64	0.4914748156
65	0.4910823531
66	0.4892125645
67	0.4887953787
68	0.4887722916
69	0.4880667879
70	0.4857502693
71	0.4857446668
72	0.4842968767
73	0.4842906768
74	0.4842848432
75	0.4840048194
76	0.4835432334
77	0.4820113171
78	0.4806676103
79	0.4773441564
80	0.4766879032
81	0.4765044589
82	0.4763678489
83	0.4763610052
84	0.4763469682
85	0.4753029569
86	0.4743319064
87	0.4738322466
88	0.4738202934
89	0.4736042061
90	0.4734666397
91	0.4732874494
92	0.4721619808
93	0.4713966541
94	0.4713483253
95	0.4686477071
96	0.4680826761
97	0.4671406307
98	0.464295456
99	0.4642903324
100	0.4642855117
101	0.4642808504
102	0.4637322715
103	0.4627784668
104	0.4623664208
105	0.4623574384
106	0.4610975611
107	0.4610940834
108	0.4599359414
109	0.4599278942
110	0.4598542679
111	0.4596963366
112	0.4593085874
113	0.4586690356
114	0.4586060714
115	0.4585624947
116	0.458417636
117	0.4582135468
118	0.4582112493
119	0.4582090878
120	0.4580681619
121	0.4578319088
122	0.4578282012
123	0.4574207975
124	0.4571762829
125	0.4571530631
126	0.4566163203
127	0.4559699721
128	0.4557488832
129	0.4557439885
130	0.4549914316
131	0.4529354143
132	0.4512486881
133	0.4511362489
134	0.4511347271
135	0.4511332952
136	0.4511139893
137	0.4502379824
138	0.4502362946
139	0.4502347066
140	0.4500269548
141	0.4500255076
142	0.4499994946
143	0.4489353926
144	0.4488758437
145	0.4485484182
146	0.4485294403
147	0.4480488389
148	0.4476713389
149	0.4476561221
150	0.4476539899
151	0.4472409578
152	0.4471866401
153	0.4459818695
154	0.4456742681
155	0.4453105779
156	0.4451445146
157	0.4449965796
158	0.444880983
159	0.444880351
160	0.4448454162
161	0.4432431048
162	0.443130839
163	0.4413645535
164	0.4413628098
165	0.4413026619
166	0.4413016897
167	0.4413007749
168	0.4412381982
169	0.4412006944
170	0.4411999378
171	0.4408992197
172	0.4408985776
173	0.4397449031
174	0.4397430409
175	0.4390112716
176	0.4388243033
177	0.4385896933
178	0.4385881509
179	0.4375261568
180	0.4375257009
181	0.4363626919
182	0.436362292
183	0.4363607972
184	0.4360604774
185	0.4357878387
186	0.4342978464
187	0.4336853398
188	0.4336849605
189	0.4336112156
190	0.4335892712
191	0.4335889656
192	0.4332786815
193	0.4329355836
194	0.4311918977
195	0.4311918244
196	0.4311915176
197	0.4311569024
198	0.4311568099
199	0.4310758828
200	0.4310130237
201	0.4296352587
202	0.4296349436
203	0.4288606989
204	0.4288588695
205	0.4282804208
206	0.4278398079
207	0.4277429416
208	0.4273012013
209	0.4271324585
210	0.4269374662
211	0.42674195
212	0.4258592799
213	0.4258591998
214	0.4258571369
215	0.4258569237
216	0.425373152
217	0.4253092372
218	0.4253090541
219	0.4241446777
220	0.4241405386
221	0.424140448
222	0.4233218333
223	0.423212866
224	0.4231526969
225	0.4213789392
226	0.4213787172
227	0.4210309549
228	0.4210148475
229	0.420962733
230	0.4209084751
231	0.4206839487
232	0.4206685716
233	0.419506548
234	0.4194745155
235	0.4193772956
236	0.4193418966
237	0.4189253157
238	0.4186952051
239	0.4183838606
240	0.4179405178
241	0.4171366517
242	0.4170844613
243	0.4167133248
244	0.4167121001
245	0.4158627668
246	0.4158144512
247	0.4157741577
248	0.4156748278
249	0.4156621045
250	0.4147347194
251	0.414734657
252	0.4130485956
253	0.4122285182
254	0.4106338166
255	0.4088759355
256	0.4087523387
257	0.4084900343
258	0.4077736059
259	0.4075656443
260	0.4075648723
261	0.4073967631
262	0.4068941101
263	0.4052912918
264	0.4050319206
265	0.4037434752
266	0.4028737956
267	0.4027402683
268	0.4013807608
269	0.4010455095
270	0.4000582148
271	0.3991163894
272	0.3982629059
273	0.397311263
274	0.3972221924
275	0.3959779222
276	0.3949914132
277	0.3936257649
278	0.392790708
279	0.3918351558
280	0.3909736325
281	0.3900320511
282	0.3897125919
283	0.3893652548
284	0.3877491607
285	0.3877482982
286	0.3877474866
287	0.3866765034
288	0.3859619857
289	0.3854480058
290	0.3849913853
291	0.3849907569
292	0.3836102003
293	0.3832182574
294	0.3822348033
295	0.3819284034
296	0.3812171189
297	0.3788930539
298	0.3783154529
299	0.3770594543
300	0.3752243664
301	0.3743796343
302	0.3718975764
303	0.3716445102
304	0.3716432606
305	0.3708775078
306	0.3700000948
307	0.3686053334
308	0.3675735184
309	0.3664638589
310	0.3658953596
311	0.3649913928
312	0.3647362829
313	0.3616836271
314	0.3613204588
315	0.3601870966
316	0.3596929167
317	0.3591112728
318	0.3576218198
319	0.3547920461
320	0.354260799
321	0.3520892524
322	0.3493469772
323	0.3481278895
324	0.3466325016
325	0.3453693021
326	0.3449530269
327	0.3443246811
328	0.3436682
329	0.3430721817
330	0.3422901179
331	0.3419332602
332	0.3408299908
333	0.3403192054
334	0.3400322306
335	0.3398224225
336	0.3385064964
337	0.3378062732
338	0.3367885373
339	0.3358147266
340	0.3349974272
341	0.3336094349
342	0.3331358855
343	0.3322851796
344	0.3313863385
345	0.328921521
346	0.3280851956
347	0.3276078224
348	0.3268492511
349	0.3250702585
350	0.3247533163
351	0.3233178404
352	0.3224595509
353	0.3217865581
354	0.3211312593
355	0.320219865
356	0.3187744827
357	0.3182983031
358	0.3167166002
359	0.3163124271
360	0.3156798908
361	0.3144824002
362	0.3140450496
363	0.3119383032
364	0.3102533239
365	0.3093030164
366	0.3086910885
367	0.3076540736
368	0.3059090282
369	0.3054864108
370	0.3047794098
371	0.3043776699
372	0.304071392
373	0.3035225345
374	0.303059408
375	0.3023608118
376	0.3008842723
377	0.3002214758
378	0.2999395814
379	0.2993972148
380	0.29800035
381	0.2975986723
382	0.2967941517
383	0.2963082726
384	0.2960373649
385	0.2943073342
386	0.2930644773
387	0.2923727337
388	0.2916823865
389	0.2914430297
390	0.2911824658
391	0.2907997816
392	0.2901383883
393	0.2899816876
394	0.2893879189
395	0.2892250183
396	0.2882939907
397	0.287614977
398	0.2864811892
399	0.2854666422
400	0.2848331117
401	0.2842101286
402	0.2837710362
403	0.2828922842
404	0.2825538899
405	0.2821251413
406	0.281548445
407	0.279363187
408	0.279207662
409	0.2786134262
410	0.2782111834
411	0.277263695
412	0.2766304674
413	0.2761483857
414	0.2755148213
415	0.2751946136
416	0.2746487316
417	0.2737433967
418	0.2729056089
419	0.2727709658
420	0.2726437805
421	0.2718650925
422	0.2713834201
423	0.2708253233
424	0.2706374873
425	0.2705217426
426	0.2695298782
427	0.2683355227
428	0.2680541786
429	0.2675393869
430	0.2664916899
431	0.2661007396
432	0.2654932119
433	0.2652301835
434	0.2649315814
435	0.2645636159
436	0.2642932877
437	0.2635122636
438	0.2631048552
439	0.2627421742
