iter	Passed	Remaining
0	2	2727
1	6	3124
2	9	3068
3	11	2882
4	13	2657
5	16	2688
6	19	2769
7	21	2705
8	23	2611
9	25	2503
10	27	2486
11	30	2490
12	32	2461
13	35	2492
14	37	2440
15	40	2485
16	43	2505
17	45	2509
18	48	2494
19	51	2504
20	54	2534
21	57	2548
22	59	2509
23	61	2511
24	63	2479
25	65	2460
26	67	2426
27	70	2450
28	72	2427
29	74	2398
30	76	2403
31	78	2385
32	81	2390
33	84	2401
34	87	2415
35	90	2422
36	93	2428
37	96	2438
38	98	2415
39	100	2423
40	103	2424
41	106	2435
42	109	2439
43	113	2465
44	116	2479
45	119	2475
46	122	2474
47	124	2475
48	126	2457
49	129	2464
50	132	2463
51	134	2452
52	137	2457
53	139	2446
54	142	2447
55	143	2427
56	146	2420
57	149	2430
58	152	2436
59	155	2441
60	157	2422
61	159	2413
62	162	2417
63	165	2422
64	169	2434
65	171	2430
66	174	2430
67	178	2440
68	180	2440
69	184	2445
70	187	2449
71	189	2436
72	192	2449
73	194	2433
74	195	2417
75	199	2422
76	201	2417
77	204	2419
78	207	2418
79	211	2426
80	213	2424
81	216	2419
82	218	2412
83	219	2397
84	221	2388
85	224	2387
86	227	2389
87	230	2386
88	232	2379
89	235	2379
90	236	2367
91	239	2365
92	241	2360
93	245	2362
94	246	2352
95	250	2356
96	253	2355
97	255	2355
98	258	2353
99	260	2340
100	261	2326
101	263	2317
102	266	2316
103	268	2317
104	271	2316
105	273	2309
106	276	2310
107	278	2298
108	280	2295
109	282	2287
110	285	2286
111	287	2277
112	290	2280
113	293	2280
114	295	2276
115	297	2270
116	299	2261
117	302	2260
118	303	2250
119	305	2239
120	308	2243
121	311	2240
122	313	2235
123	316	2235
124	318	2230
125	320	2222
126	323	2223
127	325	2217
128	328	2215
129	329	2208
130	333	2209
131	335	2207
132	338	2207
133	341	2207
134	342	2197
135	344	2187
136	346	2182
137	348	2178
138	350	2168
139	351	2159
140	353	2155
141	355	2149
142	358	2146
143	360	2144
144	362	2140
145	365	2140
146	368	2135
147	370	2135
148	373	2133
149	375	2128
150	377	2123
151	380	2124
152	382	2118
153	385	2117
154	388	2116
155	391	2116
156	394	2120
157	397	2119
158	399	2113
159	401	2105
160	403	2104
161	406	2104
162	409	2102
163	412	2102
164	414	2098
165	417	2095
166	418	2087
167	420	2080
168	422	2077
169	425	2075
170	426	2069
171	430	2071
172	432	2065
173	435	2067
174	437	2064
175	440	2063
176	444	2064
177	445	2059
178	447	2052
179	449	2049
180	451	2043
181	454	2043
182	456	2037
183	459	2035
184	461	2032
185	464	2031
186	467	2031
187	470	2032
188	472	2025
189	473	2020
190	476	2018
191	478	2011
192	480	2008
193	483	2007
194	486	2007
195	487	2000
196	489	1994
197	491	1989
198	492	1983
199	495	1982
200	497	1977
201	500	1978
202	502	1971
203	504	1970
204	506	1965
205	509	1964
206	512	1962
207	514	1960
208	517	1959
209	520	1956
210	523	1956
211	526	1957
212	529	1956
213	530	1950
214	532	1945
215	534	1941
216	537	1939
217	540	1938
218	541	1932
219	544	1931
220	546	1926
221	547	1919
222	550	1919
223	553	1918
224	555	1914
225	559	1916
226	561	1910
227	563	1908
228	566	1907
229	569	1906
230	571	1902
231	574	1901
232	576	1898
233	580	1898
234	582	1895
235	584	1893
236	587	1890
237	590	1891
238	593	1890
239	596	1889
240	600	1889
241	602	1888
242	606	1889
243	609	1887
244	611	1883
245	614	1882
246	615	1877
247	617	1872
248	620	1871
249	622	1867
250	625	1866
251	626	1860
252	629	1858
253	632	1858
254	635	1857
255	639	1857
256	641	1853
257	643	1851
258	646	1850
259	649	1849
260	651	1844
261	655	1847
262	658	1846
263	661	1844
264	663	1840
265	666	1838
266	669	1837
267	671	1835
268	675	1836
269	679	1836
270	682	1835
271	685	1834
272	689	1835
273	692	1834
274	695	1833
275	698	1832
276	702	1832
277	705	1832
278	708	1830
279	711	1828
280	714	1829
281	717	1828
282	721	1828
283	724	1827
284	727	1826
285	729	1821
286	731	1816
287	734	1815
288	737	1813
289	740	1812
290	743	1810
291	745	1806
292	747	1804
293	750	1803
294	754	1803
295	757	1801
296	761	1801
297	763	1799
298	767	1798
299	770	1797
300	772	1795
301	775	1792
302	778	1790
303	781	1788
304	782	1784
305	785	1782
306	788	1780
307	791	1778
308	794	1776
309	796	1773
310	799	1772
311	803	1770
312	805	1768
313	808	1767
314	812	1766
315	815	1764
316	818	1762
317	821	1761
318	824	1759
319	827	1757
320	830	1756
321	833	1754
322	836	1752
323	838	1750
324	842	1749
325	845	1747
326	848	1745
327	851	1744
328	854	1742
329	857	1740
330	860	1739
331	863	1737
332	866	1736
333	870	1734
334	872	1732
335	875	1730
336	878	1728
337	881	1726
338	885	1726
339	887	1723
340	891	1722
341	894	1720
342	897	1719
343	901	1718
344	904	1716
345	906	1714
346	910	1712
347	912	1710
348	916	1709
349	919	1707
350	921	1704
351	925	1703
352	928	1701
353	932	1701
354	934	1698
355	937	1696
356	940	1694
357	943	1692
358	946	1690
359	950	1689
360	953	1687
361	956	1685
362	959	1683
363	962	1681
364	965	1679
365	968	1677
366	971	1675
367	974	1673
368	977	1671
369	980	1669
370	983	1667
371	986	1665
372	989	1662
373	992	1660
374	994	1658
375	998	1657
376	1001	1654
377	1004	1652
378	1007	1650
379	1010	1648
380	1014	1647
381	1017	1645
382	1019	1642
383	1022	1640
384	1025	1638
385	1028	1636
386	1031	1634
387	1034	1631
388	1037	1629
389	1040	1627
390	1043	1624
391	1046	1622
392	1049	1620
393	1052	1618
394	1055	1616
395	1058	1614
396	1061	1612
397	1064	1610
398	1067	1607
399	1070	1605
400	1072	1602
401	1075	1599
402	1079	1598
403	1081	1596
404	1084	1593
405	1087	1591
406	1090	1588
407	1093	1586
408	1096	1583
409	1098	1581
410	1102	1580
411	1105	1577
412	1108	1575
413	1111	1573
414	1114	1571
415	1117	1568
416	1120	1566
417	1123	1564
418	1126	1561
419	1129	1559
420	1132	1556
421	1135	1554
422	1138	1552
423	1141	1550
424	1144	1548
425	1147	1546
426	1150	1543
427	1153	1540
428	1156	1538
429	1159	1536
430	1162	1534
431	1165	1531
432	1169	1531
433	1173	1530
434	1178	1530
435	1182	1529
436	1186	1529
437	1191	1528
438	1195	1528
439	1199	1527
440	1204	1526
441	1209	1526
442	1215	1528
443	1219	1527
444	1222	1524
445	1225	1522
446	1228	1519
447	1230	1516
448	1234	1514
449	1236	1511
450	1239	1508
451	1243	1507
452	1246	1505
453	1249	1502
454	1251	1499
455	1254	1496
456	1258	1495
457	1261	1492
458	1264	1490
459	1267	1487
460	1270	1484
461	1272	1482
462	1275	1479
463	1278	1477
464	1282	1475
465	1285	1473
466	1288	1470
467	1291	1468
468	1294	1465
469	1297	1463
470	1301	1461
471	1304	1459
472	1308	1457
473	1311	1454
474	1314	1452
475	1317	1449
476	1320	1447
477	1322	1444
478	1326	1442
479	1329	1440
480	1333	1438
481	1336	1436
482	1339	1434
483	1343	1431
484	1346	1429
485	1349	1426
486	1351	1424
487	1355	1421
488	1358	1419
489	1361	1416
490	1365	1415
491	1368	1412
492	1371	1410
493	1374	1408
494	1377	1405
495	1381	1403
496	1384	1401
497	1388	1399
498	1391	1397
499	1395	1395
500	1398	1392
501	1401	1390
502	1404	1387
503	1407	1385
504	1410	1382
505	1414	1380
506	1416	1377
507	1420	1375
508	1423	1372
509	1425	1370
510	1428	1367
511	1431	1364
512	1435	1362
513	1438	1359
514	1441	1357
515	1444	1354
516	1446	1351
517	1449	1349
518	1453	1346
519	1456	1344
520	1459	1341
521	1462	1338
522	1464	1336
523	1468	1333
524	1471	1331
525	1474	1329
526	1477	1326
527	1480	1323
528	1483	1321
529	1486	1318
530	1489	1315
531	1492	1312
532	1495	1310
533	1498	1307
534	1501	1305
535	1504	1302
536	1507	1300
537	1510	1297
538	1513	1294
539	1516	1292
540	1520	1290
541	1523	1287
542	1527	1285
543	1529	1282
544	1532	1279
545	1536	1277
546	1538	1274
547	1541	1271
548	1544	1269
549	1547	1266
550	1550	1263
551	1553	1261
552	1556	1258
553	1559	1255
554	1562	1252
555	1565	1249
556	1568	1247
557	1571	1244
558	1574	1241
559	1577	1239
560	1580	1236
561	1582	1233
562	1586	1231
563	1588	1228
564	1591	1225
565	1594	1222
566	1597	1219
567	1601	1217
568	1603	1214
569	1607	1212
570	1610	1209
571	1613	1207
572	1617	1205
573	1620	1202
574	1623	1200
575	1627	1197
576	1631	1196
577	1635	1193
578	1638	1191
579	1641	1188
580	1644	1185
581	1647	1183
582	1650	1180
583	1653	1177
584	1657	1175
585	1660	1173
586	1663	1170
587	1667	1168
588	1670	1165
589	1673	1162
590	1676	1160
591	1679	1157
592	1682	1155
593	1685	1152
594	1688	1149
595	1691	1146
596	1694	1143
597	1698	1141
598	1701	1139
599	1704	1136
600	1707	1133
601	1709	1130
602	1713	1128
603	1716	1125
604	1719	1122
605	1723	1120
606	1725	1117
607	1728	1114
608	1731	1111
609	1734	1108
610	1737	1106
611	1740	1103
612	1743	1100
613	1746	1097
614	1749	1095
615	1752	1092
616	1755	1089
617	1758	1086
618	1761	1084
619	1765	1082
620	1768	1079
621	1772	1077
622	1775	1074
623	1778	1071
624	1782	1069
625	1785	1066
626	1789	1064
627	1792	1061
628	1795	1059
629	1799	1056
630	1802	1053
631	1805	1051
632	1808	1048
633	1811	1045
634	1814	1043
635	1817	1040
636	1820	1037
637	1823	1034
638	1827	1032
639	1830	1029
640	1833	1027
641	1836	1024
642	1839	1021
643	1842	1018
644	1846	1016
645	1849	1013
646	1852	1010
647	1854	1007
648	1857	1004
649	1860	1001
650	1863	999
651	1866	996
652	1870	993
653	1872	990
654	1875	987
655	1879	985
656	1881	982
657	1884	979
658	1888	976
659	1890	974
660	1893	971
661	1896	968
662	1899	965
663	1903	963
664	1906	960
665	1909	957
666	1912	954
667	1915	951
668	1917	948
669	1920	945
670	1923	943
671	1927	941
672	1931	938
673	1934	935
674	1937	932
675	1940	930
676	1944	927
677	1947	924
678	1950	921
679	1953	919
680	1956	916
681	1960	914
682	1963	911
683	1966	908
684	1969	905
685	1972	902
686	1975	900
687	1978	897
688	1981	894
689	1984	891
690	1987	888
691	1990	885
692	1994	883
693	1997	880
694	2000	877
695	2003	875
696	2006	872
697	2010	869
698	2013	866
699	2016	864
700	2019	861
701	2022	858
702	2025	855
703	2028	853
704	2032	850
705	2035	847
706	2037	844
707	2041	841
708	2044	839
709	2047	836
710	2051	833
711	2054	830
712	2058	828
713	2061	825
714	2064	822
715	2066	819
716	2069	817
717	2072	814
718	2075	811
719	2078	808
720	2081	805
721	2083	802
722	2086	799
723	2090	796
724	2093	794
725	2096	791
726	2099	788
727	2102	785
728	2106	783
729	2110	780
730	2113	777
731	2116	774
732	2119	771
733	2123	769
734	2126	766
735	2129	763
736	2132	760
737	2135	758
738	2138	755
739	2141	752
740	2145	749
741	2148	747
742	2151	744
743	2155	741
744	2158	738
745	2161	736
746	2164	733
747	2167	730
748	2171	727
749	2174	724
750	2177	721
751	2180	719
752	2183	716
753	2186	713
754	2189	710
755	2192	707
756	2195	704
757	2198	701
758	2201	699
759	2204	696
760	2207	693
761	2210	690
762	2213	687
763	2216	684
764	2219	681
765	2222	678
