iter	Logloss
0	0.6911909919
1	0.6889009335
2	0.6869552588
3	0.6847214893
4	0.6824209829
5	0.6806539124
6	0.6785791248
7	0.676526156
8	0.6743899583
9	0.6722724664
10	0.6703181434
11	0.6683963765
12	0.6668102418
13	0.6652896013
14	0.6637930506
15	0.6620089947
16	0.6602379905
17	0.6585273915
18	0.6568236624
19	0.6551055429
20	0.6537663122
21	0.6521966033
22	0.6505707468
23	0.6490640401
24	0.6476907308
25	0.6464730901
26	0.6452391135
27	0.6439581688
28	0.6425203314
29	0.6413639784
30	0.6399641749
31	0.6385228771
32	0.6374198386
33	0.6360825695
34	0.6345718176
35	0.6331974108
36	0.6319236676
37	0.6307120932
38	0.6293011775
39	0.6280458987
40	0.6271147399
41	0.6261657476
42	0.6252758325
43	0.6242555395
44	0.6229513062
45	0.6221073991
46	0.6210069295
47	0.6197566324
48	0.6189578126
49	0.618023795
50	0.6170825529
51	0.6161116092
52	0.6153696606
53	0.6144283227
54	0.6135448553
55	0.6128229941
56	0.6121186952
57	0.6117548117
58	0.6108194247
59	0.6101385153
60	0.6094831005
61	0.6084553685
62	0.6078260318
63	0.6072060059
64	0.606351562
65	0.605380349
66	0.6047781075
67	0.603989043
68	0.603183381
69	0.6022111635
