iter	Passed	Remaining
0	0	46
1	1	50
2	2	50
3	2	49
4	3	47
5	4	46
6	5	45
7	5	44
8	6	43
9	7	42
10	7	42
11	8	41
12	9	41
13	10	40
14	10	39
15	11	38
16	11	37
17	12	36
18	13	35
19	14	35
20	14	34
21	15	33
22	16	32
23	16	31
24	17	31
25	17	30
26	18	29
27	19	28
28	19	28
29	20	27
30	21	26
31	21	25
32	22	25
33	23	24
34	23	23
35	24	23
36	25	22
37	25	21
38	26	21
39	27	20
40	27	19
41	28	19
42	29	18
43	30	17
44	30	17
45	31	16
46	32	15
47	33	15
48	33	14
49	34	13
50	35	13
51	35	12
52	36	11
53	36	10
54	37	10
55	37	9
56	38	8
57	39	8
58	39	7
59	40	6
60	40	6
61	41	5
62	42	4
63	42	4
64	43	3
65	44	2
66	44	2
67	45	1
68	46	0
69	46	0
